Player,PosRank
Josh Allen,QB1
Patrick Mahomes,QB2
Justin Herbert,QB3
Jonathan Taylor,RB1
Lamar Jackson,QB4
Christian McCaffrey,RB2
Kyler Murray,QB5
Cooper Kupp,WR1
Jalen Hurts,QB6
Austin Ekeler,RB3
Dak Prescott,QB7
Justin Jefferson,WR2
Ja'Marr Chase,WR3
Derrick Henry,RB4
Najee Harris,RB5
Tom Brady,QB8
Aaron Rodgers,QB9
Alvin Kamara,RB6
Dalvin Cook,RB7
Russell Wilson,QB10
Davante Adams,WR4
Deebo Samuel,WR5
Stefon Diggs,WR6
Joe Burrow,QB11
Matthew Stafford,QB12
Joe Mixon,RB8
D'Andre Swift,RB9
CeeDee Lamb,WR7
Tyreek Hill,WR8
Leonard Fournette,RB10
Mark Andrews,TE1
Javonte Williams,RB11
Travis Kelce,TE2
James Conner,RB12
Aaron Jones,RB13
Keenan Allen,WR9
Trey Lance,QB13
Tee Higgins,WR10
Mike Evans,WR11
DJ Moore,WR12
Saquon Barkley,RB14
Cam Akers,RB15
Michael Pittman Jr.,WR13
A.J. Brown,WR14
Terry McLaurin,WR15
Derek Carr,QB14
Kirk Cousins,QB15
Nick Chubb,RB16
Diontae Johnson,WR16
Jaylen Waddle,WR17
Mike Williams,WR18
Brandin Cooks,WR19
Kyle Pitts,TE3
David Montgomery,RB17
Breece Hall,RB18
J.K. Dobbins,RB19
Ezekiel Elliott,RB20
Marquise Brown,WR20
DK Metcalf,WR21
Trevor Lawrence,QB16
Tua Tagovailoa,QB17
Jerry Jeudy,WR22
Courtland Sutton,WR23
Travis Etienne Jr.,RB21
Amon-Ra St. Brown,WR24
Darnell Mooney,WR25
Gabriel Davis,WR26
Chris Godwin,WR27
Josh Jacobs,RB22
Elijah Mitchell,RB23
Clyde Edwards-Helaire,RB24
Devin Singletary,RB25
Miles Sanders,RB26
Darren Waller,TE4
George Kittle,TE5
Amari Cooper,WR28
Michael Thomas,WR29
Allen Robinson II,WR30
Justin Fields,QB18
Daniel Jones,QB19
Jameis Winston,QB20
Hunter Renfrow,WR31
JuJu Smith-Schuster,WR32
Adam Thielen,WR33
Rashod Bateman,WR34
Drake London,WR35
Christian Kirk,WR36
Tyler Lockett,WR37
DeVonta Smith,WR38
Elijah Moore,WR39
Dalton Schultz,TE6
T.J. Hockenson,TE7
Kareem Hunt,RB27
Rhamondre Stevenson,RB28
Damien Harris,RB29
Dameon Pierce,RB30
Chase Edmonds,RB31
Antonio Gibson,RB32
Cordarrelle Patterson,RB33
Tony Pollard,RB34
Dallas Goedert,TE8
Zach Ertz,TE9
Kadarius Toney,WR40
Carson Wentz,QB21
Zach Wilson,QB22
Ryan Tannehill,QB23
Matt Ryan,QB24
Allen Lazard,WR41
Brandon Aiyuk,WR42
Garrett Wilson,WR43
Robert Woods,WR44
DeAndre Hopkins,WR45
Chase Claypool,WR46
Chris Olave,WR47
AJ Dillon,RB35
Rashaad Penny,RB36
Mac Jones,QB25
Jared Goff,QB26
Baker Mayfield,QB27
James Robinson,RB37
James Cook,RB38
Ken Walker III,RB39
Pat Freiermuth,TE10
Cole Kmet,TE11
Jakobi Meyers,WR48
Russell Gage,WR49
Marquez Valdes-Scantling,WR50
Skyy Moore,WR51
Tyler Boyd,WR52
Treylon Burks,WR53
Jahan Dotson,WR54
Michael Carter,RB40
Melvin Gordon III,RB41
Nyheim Hines,RB42
Brian Robinson Jr.,RB43
Hunter Henry,TE12
Mike Gesicki,TE13
Knox,TE14
Chark Jr.,WR55
Landry,WR56
Palmer,WR57
Robbie Anderson,WR58
Marvin Jones Jr.,WR59
Parker,WR60
Kenny Golladay,WR61
Fant,TE15
Irv Smith Jr.,TE16
Njoku,TE17
Deshaun Watson,QB28
Tyler Higbee,TE18
J.D. McKissic,RB44
Raheem Mostert,RB45
Alexander Mattison,RB46
Darrell Henderson Jr.,RB47
Jamaal Williams,RB48
Kenneth Gainwell,RB49
Herbert,RB50
Jalen Tolbert,WR62
Pickens,WR63
Rondale Moore,WR64
Hardman,WR65
Michael Gallup,WR66
Nico Collins,WR67
Evan Engram,TE19
Mills,QB29
Mariota,QB30
Pickett,QB31
Lock,QB32
Bills D/ST,DST1
D/ST,DST2
Packers D/ST,DST3
Ravens D/ST,DST4
Buccaneers D/ST,DST5
D/ST,DST6
D/ST,DST7
Colts D/ST,DST8
D/ST,DST9
D/ST,DST10
D/ST,DST11
Bengals D/ST,DST12
Justin Tucker,K1
McPherson,K2
Matt Gay,K3
Butker,K4
Carlson,K5
Brandon McManus,K6
Folk,K7
Bass,K8
Matt Prater,K9
Gano,K10
Greg Joseph,K11
Elliott,K12
Tyler Allgeier,RB51
McKinnon,RB52
Pacheco,RB53
Mack,RB54
White,RB55
Julio Jones,WR68
Burkhead,RB56
Davis,RB57
Sony Michel,RB58
Williams,RB59
Van Jefferson,WR69
Samuel,WR70
Robinson,WR71
Trubisky,QB33
Jacoby Brissett,QB34
Geno Smith,QB35
Ridder,QB36
Christian Watson,WR72
Williams,WR73
Pierce,WR74
Isaiah Spiller,RB60
White,RB61
Ingram II,RB62
Foreman,RB63
Hubbard,RB64
Ameer Abdullah,RB65
Ty Montgomery,RB66
Davis-Price,RB67
D'Ernest Johnson,RB68
Hilliard,RB69
Jones II,RB70
Haskins,RB71
Austin Hooper,TE20
Hurst,TE21
Isaiah McKenzie,WR75
Cedrick Wilson,WR76
Jimmy Garoppolo,QB37
Sam Darnold,QB38
Crowder,WR77
Bourne,WR78
Romeo Doubs,WR79
KJ Hamler,WR80
Albert Okwuegbunam,TE22
Dolphins D/ST,DST13
D/ST,DST14
Robbie Gould,K13
Ryan Succop,K14
Jones Jr.,WR81
Nick Westbrook-Ikhine,WR82
K.J. Osborn,WR83
Odell Beckham Jr.,WR84
Shepard,WR85
Randall Cobb,WR86
Davis,WR87
A.J. Green,WR88
Conley,WR89
Parris Campbell,WR90
Edwards,RB72
